ticker,date,last_close,pump_score,volume_z,ret_5d,prior_spikes_180d,log_market_cap
BJDX,2026-08-05,1.2400000095367432,0.20486059982539034,4.02712738376998,0.4106939682608999,14.0,14.064748275818467
CNTX,2026-08-05,0.6930000185966492,0.1884726664817195,-0.1818221601948735,0.12317672091752119,5.0,17.969259751057574
NEOV,2026-08-05,2.869999885559082,0.1775367082219918,3.8635461361960006,0.45685271262852356,6.0,18.624286061015475
GETY,2026-08-05,0.47519999742507935,0.14485011183755173,-0.6875671876193613,0.25382582390838193,5.0,19.109264653610765
LESL,2026-08-05,1.3600000143051147,0.12259029512472094,-0.3315453211721873,0.5280899282748499,6.0,16.359381628668125
IVVD,2026-08-05,0.6043999791145325,0.12231532492374568,0.7043631746046058,0.11307550317079151,8.0,18.997635269155484
PLG,2026-08-05,1.4900000095367432,0.11719269695021352,3.0211612369993106,0.19200000762939462,3.0,19.065418976920604
ELAB,2026-08-05,0.9797999858856201,0.112429156847439,-0.3977804591886855,0.11340908090314583,10.0,15.308856803570968
VTAK,2026-08-05,0.2759999930858612,0.11164124566649275,-0.5371570220295115,-0.014285743175720511,9.0,13.811718376725388
JELD,2026-08-05,1.809999942779541,0.11095140454366197,0.5849880241724253,0.4140624869032761,3.0,18.872022117805646
OMH,2026-08-05,0.11999999731779099,0.1087093007367915,-0.20360067686743488,-0.05511816151121707,9.0,14.83512870013749
CRMT,2026-08-05,3.4100000858306885,0.10705646402565717,-0.4422384605799485,0.09646308709139673,6.0,17.16176564485025
SRFM,2026-08-05,0.8271999955177307,0.1026335138162593,0.12065882296264162,0.17667138671009752,7.0,18.33528328934363
HOVR,2026-08-05,1.909999966621399,0.10214909359149577,1.0674296343596932,0.2012578154245872,6.0,18.664703558468542
CPHI,2026-08-05,1.2599999904632568,0.10089630779855577,-0.4072596898078916,0.04999995032946458,10.0,17.748467335017295
BZAI,2026-08-05,0.9351000189781189,0.09997268291202095,-0.6486868015429261,0.2271653400722562,4.0,18.706342464366728
ZCMD,2026-08-05,1.1799999475479126,0.09915618799748949,0.45414512344377966,0.11320755777939628,13.0,15.798484149882725
SATL,2026-08-05,4.820000171661377,0.09758007573650386,3.510451468746663,0.45619343050919436,5.0,
COSM,2026-08-05,0.21480000019073486,0.09415435587283762,-0.8767982860828802,0.17377050355014068,7.0,16.40586071996579
GERN,2026-08-05,1.6299999952316284,0.09191148335151515,3.1915056331235423,0.16428573070740238,3.0,20.767932433743066
VERI,2026-08-05,1.2000000476837158,0.09169610162957129,-1.5660733655205075,0.20120123345217866,4.0,18.529941245768136
NFGC,2026-08-05,1.5399999618530273,0.09011038841189752,2.3930064623243963,0.12408755948391259,3.0,20.198150440637896
LASE,2026-08-05,1.100000023841858,0.08854444775132234,-0.3271833039176321,0.13871635661865445,7.0,17.826361421632186
DFDV,2026-08-05,2.799999952316284,0.08827683230779597,-0.369005002140448,0.08949417317037622,1.0,18.250259722057557
ZENA,2026-08-05,1.3899999856948853,0.08350739936416962,-0.773170618376948,0.12096772177782578,5.0,18.632148598825868
