ticker,last_close,median_dollar_volume
OPEN,3.759999990463257,333770225.98354816
GRAB,3.740000009536743,150943684.2338562
KEEL,3.930000066757202,122505174.43666458
EOSE,3.819999933242798,113912609.80570316
NIO,4.650000095367432,108852584.00731087
BBD,3.4800000190734863,103993680.54127693
AMC,2.6700000762939453,102114358.71863365
PLUG,2.0999999046325684,101747564.26792145
BBAI,3.0299999713897705,74745818.49718094
BTE,4.090000152587891,74145628.27534676
BTG,4.099999904632568,70613005.2892685
DNN,3.0899999141693115,66384667.958021164
RXRX,3.1700000762939453,64310319.88825798
ABEV,3.0299999713897705,63942030.41610718
IOVA,4.340000152587891,60001409.428691864
HIVE,2.8399999141693115,44201682.927918434
RXT,4.75,42000251.86300278
KOS,2.3499999046325684,38869092.13528633
BTBT,1.3799999952316284,37711409.4550848
HTZ,1.559999942779541,35358178.03906202
LAES,2.4600000381469727,35109282.60002136
SOC,4.630000114440918,33896069.2568779
UWMC,1.840000033378601,29512860.721683502
CAPR,3.930000066757202,28483065.250205994
ENVX,4.289999961853027,26843334.943771362
LAC,3.0899999141693115,25622267.552232742
MPT,4.659999847412109,24763092.612075806
COTY,2.8299999237060547,24075870.168209076
SPCE,2.890000104904175,23119375.233840942
GTM,3.6600000858306885,22190475.450325012
RZLV,2.7100000381469727,21518082.082414627
BATL,1.2999999523162842,21423741.937327385
CLOV,4.139999866485596,20889668.833637238
SATL,4.820000171661377,20000370.4890728
BLDP,2.640000104904175,18179639.751434326
INDI,3.390000104904175,17907306.2128067
MNKD,4.099999904632568,17434409.922122955
TLRY,4.425000190734863,17003304.14543152
SKYQ,4.0,16130280.45244217
VZLA,3.5899999141693115,16075230.537056923
BYND,0.6100999712944031,16064462.490302324
ASPI,4.050000190734863,15941147.734451294
BORR,3.890000104904175,15904821.21720314
USAS,4.809999942779541,15172546.109342575
WIT,2.0,15098748.913097382
TMC,4.019999980926514,14631391.21017456
WTI,3.25,14380993.361973763
SLNH,1.1799999475479126,14085568.059968948
KOPN,3.950000047683716,13915823.929595947
DGXX,3.75,13700985.758590698
ARDX,4.909999847412109,13674374.47309494
NRGV,3.009999990463257,13277002.302503586
GERN,1.6299999952316284,13192424.170017242
IAUX,1.5099999904632568,11993459.71608162
CCO,2.4200000762939453,11831189.192995071
SIDU,2.069999933242798,11763609.029996395
TBLA,3.8350000381469727,11762520.379543304
OTLK,1.0299999713897705,11538872.385501862
ALLO,1.9500000476837158,11475429.85600233
EVH,3.0799999237060547,11261948.039197922
CTMX,3.3499999046325684,11250295.97146511
CLVT,1.940000057220459,11209000.242948532
CCCC,3.619999885559082,10486979.852199554
SES,0.5112000107765198,10467592.766070366
RR,1.5499999523162842,10391166.030585766
LPL,3.259999990463257,10181754.863238335
PRME,3.0799999237060547,10035109.843111038
BBBY,4.619999885559082,9792194.791316986
HYLN,3.940000057220459,9604656.028270721
CIG,2.140000104904175,9509880.421829224
PSEC,2.1700000762939453,9348166.155052185
PACB,1.2999999523162842,9210960.366010666
ALT,3.0299999713897705,9189547.533229351
UROY,3.559999942779541,9082556.654014587
RWT,4.570000171661377,9047279.89768982
TIGR,4.809999942779541,9044359.26194191
SLDP,2.140000104904175,9017994.484519958
ESRT,4.889999866485596,8589387.455479145
URG,1.2999999523162842,8519544.338536263
SANA,3.509999990463257,8476965.256643295
ORBS,0.6708999872207642,8177372.700834274
BUR,4.269999980926514,8035859.635066986
IRWD,4.150000095367432,7795340.769481659
DNUT,3.0999999046325684,7755480.129003525
REAX,1.7300000190734863,7693355.802297592
BGS,3.5199999809265137,7605467.979335785
IQ,1.2899999618530273,7587063.239192963
NABL,4.989999771118164,7507655.724620819
ABAT,2.319999933242798,7469696.186065674
NAK,1.690000057220459,7430401.281580448
CABA,2.7100000381469727,7402725.0
ABUS,4.619999885559082,7306031.908321381
AQST,3.755000114440918,6767712.034606934
CERS,2.2699999809265137,6602927.9582977295
RZLT,4.679999828338623,6420299.884504795
BDN,3.200000047683716,6414078.214287758
ACDC,4.505000114440918,6394815.078020096
AGNT,4.050000190734863,6381022.350514412
OCGN,1.2799999713897705,6335909.952044487
MYGN,3.1500000953674316,6197268.199968338
LXRX,2.450000047683716,6130656.026101112
XRX,3.140000104904175,6023232.239341736
DDD,3.569999933242798,5977180.12714386
SABR,2.119999885559082,5887363.064908981
VIVK,1.4600000381469727,5881875.975179672
GOGO,4.460000038146973,5812099.831104279
BMBL,3.0399999618530273,5714086.130189896
MNTS,4.239999771118164,5475527.976894379
FULC,3.7699999809265137,5452650.0
XXI,4.539999961853027,5364700.0
LRMR,4.099999904632568,5348594.893455505
BTQ,4.03000020980835,5344395.073866844
SRXH,1.3899999856948853,5306983.077073097
ANGX,4.239999771118164,5302120.861148834
NXDR,2.450000047683716,5301733.977627754
EVGO,1.5299999713897705,5278423.840475082
INV,3.4200000762939453,5274623.9501953125
FFAI,4.849999904632568,5229636.085388064
ITRG,2.390000104904175,5189140.1124715805
RCKT,3.5,5095328.084754944
MDXG,4.159999847412109,5039615.905761719
NNBR,3.9000000953674316,4980583.968544006
SFIX,4.119999885559082,4939503.108429909
ZNTL,4.949999809265137,4931808.076477051
REI,1.2300000190734863,4916040.195345879
GROY,2.890000104904175,4814666.806483269
CMPX,1.8899999856948853,4805191.740608215
GEVO,1.5299999713897705,4752508.861130476
FATE,2.5999999046325684,4705427.951574326
